phase,start,end,d1_candles,h2_bars
distribution,2021-10-01 00:00:00,2021-10-11 00:00:00,11,132
expansion,2021-10-11 00:00:00,2021-10-12 00:00:00,2,24
distribution,2021-10-12 00:00:00,2021-10-13 00:00:00,2,24
expansion,2021-10-13 00:00:00,2021-10-27 00:00:00,15,180
distribution,2021-10-27 00:00:00,2021-10-28 00:00:00,2,24
expansion,2021-10-28 00:00:00,2021-10-31 00:00:00,4,48
