timestamp,open,high,low,close,volume
2022-04-15 00:00:00,39942.37,40180.0,39766.4,39941.0,2298.15348
2022-04-15 02:00:00,39941.01,40207.25,39909.06,40200.94,1471.65946
2022-04-15 04:00:00,40200.95,40266.47,40062.61,40132.73,1504.20352
2022-04-15 06:00:00,40132.74,40449.96,39953.2,40239.43,2625.05644
2022-04-15 08:00:00,40239.43,40396.59,40036.06,40112.16,2408.66541
2022-04-15 10:00:00,40112.17,40399.0,40087.47,40220.0,1902.89271
2022-04-15 12:00:00,40220.0,40258.26,40010.2,40039.87,1920.71751
2022-04-15 14:00:00,40039.87,40870.36,39900.0,40412.2,4326.08557
2022-04-15 16:00:00,40412.21,40650.01,40203.68,40436.01,2529.98002
2022-04-15 18:00:00,40436.01,40472.25,40276.0,40313.35,1180.23957
2022-04-15 20:00:00,40313.35,40465.0,40281.35,40426.0,799.97134
2022-04-15 22:00:00,40425.99,40602.0,40341.12,40551.9,1058.73236
2022-04-16 00:00:00,40551.9,40709.35,40468.25,40579.99,1205.06273
2022-04-16 02:00:00,40579.99,40595.02,40410.75,40434.12,1065.88789
2022-04-16 04:00:00,40434.11,40563.46,40373.91,40456.82,1050.25899
2022-04-16 06:00:00,40456.82,40456.82,40353.54,40393.77,870.51696
2022-04-16 08:00:00,40393.77,40447.71,40277.0,40328.79,1269.3573
2022-04-16 10:00:00,40328.8,40492.91,40310.05,40416.95,1398.66076
2022-04-16 12:00:00,40416.94,40472.01,40341.83,40438.15,1335.64628
2022-04-16 14:00:00,40438.16,40577.57,39991.55,40062.68,2826.24531
2022-04-16 16:00:00,40062.67,40236.01,40005.78,40153.0,1210.59112
2022-04-16 18:00:00,40152.99,40250.0,40106.98,40210.0,747.98117
2022-04-16 20:00:00,40210.01,40600.0,40185.45,40485.28,1118.32448
2022-04-16 22:00:00,40485.28,40699.55,40360.11,40378.71,1706.91419
2022-04-17 00:00:00,40378.7,40423.0,40300.84,40387.43,745.58571
2022-04-17 02:00:00,40387.44,40387.44,40122.05,40230.86,1128.66305
2022-04-17 04:00:00,40230.87,40430.0,40226.55,40364.48,617.20329
2022-04-17 06:00:00,40364.47,40391.71,40234.79,40285.15,695.72773
2022-04-17 08:00:00,40285.15,40529.79,40280.0,40419.82,1261.99751
2022-04-17 10:00:00,40419.82,40485.0,40363.6,40464.77,898.5996
2022-04-17 12:00:00,40464.77,40595.67,40250.02,40306.56,2085.90672
2022-04-17 14:00:00,40306.53,40485.82,40200.0,40445.3,1450.02519
2022-04-17 16:00:00,40445.3,40476.07,40050.0,40101.72,1923.41278
2022-04-17 18:00:00,40101.72,40450.0,39833.31,40370.46,2689.47448
2022-04-17 20:00:00,40370.46,40459.52,40127.0,40208.14,1321.39061
2022-04-17 22:00:00,40208.15,40340.22,39546.17,39678.12,5170.50592
2022-04-18 00:00:00,39678.11,39828.62,39580.05,39752.13,2533.97002
2022-04-18 02:00:00,39752.13,39896.98,39721.24,39813.17,1531.12866
2022-04-18 04:00:00,39813.17,39847.24,38536.51,38922.21,8575.2815
2022-04-18 06:00:00,38922.21,39070.05,38791.73,38919.85,3053.7833
2022-04-18 08:00:00,38919.85,39064.97,38799.0,38976.39,2502.37575
2022-04-18 10:00:00,38976.39,39138.49,38920.62,38998.54,2427.77
2022-04-18 12:00:00,38998.54,39620.8,38998.54,39326.13,6123.67034
2022-04-18 14:00:00,39326.13,39569.92,39122.78,39254.5,4504.35901
2022-04-18 16:00:00,39254.5,40370.8,39000.0,40211.03,8667.42568
