timestamp,open,high,low,close,volume
2022-10-15 00:00:00,19176.93,19227.68,19171.76,19173.58,9201.50906
2022-10-15 02:00:00,19173.58,19217.8,19133.24,19200.99,8695.02865
2022-10-15 04:00:00,19200.99,19211.98,19153.0,19175.92,7599.24901
2022-10-15 06:00:00,19175.92,19187.2,19133.16,19169.79,8598.47853
2022-10-15 08:00:00,19170.43,19176.27,19037.39,19107.75,16472.84953
2022-10-15 10:00:00,19108.28,19179.63,19093.8,19167.33,8986.45467
2022-10-15 12:00:00,19167.33,19199.0,19094.01,19168.68,11136.45298
2022-10-15 14:00:00,19168.09,19184.99,19117.08,19127.95,7674.25561
2022-10-15 16:00:00,19127.95,19163.39,19095.84,19108.47,7753.31314
2022-10-15 18:00:00,19108.47,19139.22,19052.0,19102.17,7827.31526
2022-10-15 20:00:00,19102.65,19110.74,19049.0,19068.59,6078.61354
2022-10-15 22:00:00,19067.9,19131.0,18975.18,19069.39,13824.12234
2022-10-16 00:00:00,19068.4,19170.82,19063.74,19142.51,9378.93418
2022-10-16 02:00:00,19142.51,19167.32,19101.82,19123.43,6260.49853
2022-10-16 04:00:00,19123.43,19162.82,19110.35,19150.56,8643.01401
2022-10-16 06:00:00,19150.9,19154.94,19115.0,19134.31,6463.92177
2022-10-16 08:00:00,19134.31,19195.0,19130.26,19140.89,10389.57424
2022-10-16 10:00:00,19140.59,19155.0,19087.37,19144.69,9080.6307
2022-10-16 12:00:00,19144.69,19151.3,19115.45,19127.57,7827.36895
2022-10-16 14:00:00,19127.57,19172.55,19104.16,19158.49,10783.76182
2022-10-16 16:00:00,19158.49,19168.98,19125.53,19132.13,7770.81213
2022-10-16 18:00:00,19131.6,19383.44,19118.4,19375.39,15655.05763
2022-10-16 20:00:00,19375.39,19425.84,19101.0,19148.25,19023.26524
2022-10-16 22:00:00,19148.25,19367.04,19116.85,19262.98,20617.77965
2022-10-17 00:00:00,19262.98,19309.06,19168.87,19177.47,13126.05402
2022-10-17 02:00:00,19177.47,19212.22,19152.03,19186.38,9192.31477
2022-10-17 04:00:00,19186.38,19284.61,19161.03,19272.2,11085.53305
2022-10-17 06:00:00,19272.2,19318.28,19223.65,19295.58,16198.94429
2022-10-17 08:00:00,19295.58,19366.6,19244.03,19336.64,15277.31145
2022-10-17 10:00:00,19336.64,19545.22,19336.48,19457.58,26029.06643
2022-10-17 12:00:00,19457.58,19676.96,19419.6,19586.22,35099.95935
2022-10-17 14:00:00,19587.65,19650.0,19430.0,19535.19,34068.018
2022-10-17 16:00:00,19535.19,19592.55,19456.49,19521.21,21124.28378
2022-10-17 18:00:00,19521.21,19557.05,19441.87,19526.84,16363.61101
2022-10-17 20:00:00,19527.66,19557.95,19489.62,19514.57,9288.69491
2022-10-17 22:00:00,19514.57,19626.91,19471.8,19549.86,15960.08528
2022-10-18 00:00:00,19548.48,19624.03,19506.73,19536.16,14786.09627
2022-10-18 02:00:00,19536.0,19575.57,19480.0,19547.9,14480.57495
2022-10-18 04:00:00,19548.68,19614.28,19536.61,19553.5,14821.32503
2022-10-18 06:00:00,19553.5,19706.66,19524.37,19664.92,23146.19034
2022-10-18 08:00:00,19665.95,19673.0,19470.0,19528.61,24875.5499
2022-10-18 10:00:00,19528.61,19605.9,19502.98,19563.59,16014.9001
2022-10-18 12:00:00,19563.59,19680.49,19527.86,19542.79,25857.40812
2022-10-18 14:00:00,19544.77,19575.34,19280.11,19375.01,41653.36679
2022-10-18 16:00:00,19375.71,19442.0,19345.56,19406.73,22220.39292
2022-10-18 18:00:00,19407.67,19412.94,19091.0,19216.21,30430.16064
2022-10-18 20:00:00,19217.79,19433.43,19195.44,19293.62,19926.8267
2022-10-18 22:00:00,19293.62,19371.05,19255.53,19327.44,12100.28672
2022-10-19 00:00:00,19327.44,19360.16,19213.99,19312.35,14567.76258
2022-10-19 02:00:00,19311.47,19320.47,19248.06,19281.63,10270.35283
2022-10-19 04:00:00,19281.01,19308.34,19235.01,19255.11,12249.99579
2022-10-19 06:00:00,19254.29,19280.0,19146.8,19218.11,18588.3195
2022-10-19 08:00:00,19218.59,19281.81,19147.31,19268.16,14514.94236
2022-10-19 10:00:00,19268.16,19276.28,19140.01,19200.84,15281.89924
2022-10-19 12:00:00,19201.42,19250.0,19065.97,19123.8,23417.95343
2022-10-19 14:00:00,19124.71,19301.69,19100.01,19266.43,26002.83455
2022-10-19 16:00:00,19267.94,19279.31,19095.0,19183.19,18040.37156
2022-10-19 18:00:00,19183.19,19233.72,19152.37,19232.59,12347.20257
2022-10-19 20:00:00,19231.63,19249.51,19134.39,19194.37,9207.7046
2022-10-19 22:00:00,19194.37,19199.5,19084.23,19123.97,11647.95637
2022-10-20 00:00:00,19123.35,19165.34,18900.0,19047.02,20139.72665
2022-10-20 02:00:00,19047.02,19082.91,19014.03,19042.09,9684.24114
2022-10-20 04:00:00,19043.2,19210.0,19037.66,19141.23,17907.86079
2022-10-20 06:00:00,19140.67,19167.95,19092.95,19145.94,13750.06304
2022-10-20 08:00:00,19145.1,19195.31,19105.99,19185.79,12160.14835
2022-10-20 10:00:00,19186.29,19253.33,19131.79,19208.09,18010.78855
2022-10-20 12:00:00,19208.09,19282.68,19128.24,19173.18,27533.67689
2022-10-20 14:00:00,19173.06,19347.82,19168.63,19253.3,24564.56512
2022-10-20 16:00:00,19253.88,19256.55,19063.89,19099.11,26338.62541
2022-10-20 18:00:00,19099.3,19117.87,18964.02,19063.82,26693.57831
2022-10-20 20:00:00,19063.04,19098.0,18929.38,19073.92,15143.05395
2022-10-20 22:00:00,19073.92,19094.44,18979.17,19041.92,11603.80248
2022-10-21 00:00:00,19041.92,19074.4,18999.0,19065.24,13787.01941
2022-10-21 02:00:00,19065.86,19131.39,19043.52,19051.77,11417.48884
2022-10-21 04:00:00,19051.19,19082.4,19025.0,19043.53,11171.04545
2022-10-21 06:00:00,19043.53,19084.17,18991.69,19027.86,13995.70735
2022-10-21 08:00:00,19028.68,19041.96,18900.0,19011.0,23685.66371
2022-10-21 10:00:00,19011.0,19018.52,18940.78,18945.65,16355.4554
2022-10-21 12:00:00,18944.99,19083.14,18650.0,19065.36,57716.97695
2022-10-21 14:00:00,19064.5,19174.16,18937.5,19168.25,45983.47591
2022-10-21 16:00:00,19168.44,19229.0,19089.0,19150.98,31539.72246
2022-10-21 18:00:00,19150.98,19250.0,19120.35,19189.22,23560.22529
2022-10-21 20:00:00,19189.22,19249.73,19137.68,19153.8,11944.81428
2022-10-21 22:00:00,19154.12,19193.48,19153.22,19164.37,8153.16264
2022-10-22 00:00:00,19164.37,19183.39,19145.3,19155.82,8500.61426
2022-10-22 02:00:00,19155.82,19164.54,19112.72,19151.22,9104.37578
2022-10-22 04:00:00,19150.36,19163.25,19137.36,19141.13,6801.7311
2022-10-22 06:00:00,19140.56,19177.01,19132.71,19163.58,7597.45709
2022-10-22 08:00:00,19163.58,19176.94,19140.0,19142.66,8591.56808
2022-10-22 10:00:00,19142.66,19188.0,19140.57,19178.66,8577.44202
2022-10-22 12:00:00,19178.99,19257.0,19155.0,19196.56,14981.116
2022-10-22 14:00:00,19196.56,19257.0,19195.83,19235.65,12001.91409
2022-10-22 16:00:00,19234.8,19248.85,19140.3,19152.02,12668.97307
2022-10-22 18:00:00,19152.05,19188.92,19134.0,19183.83,8938.15055
2022-10-22 20:00:00,19183.83,19224.99,19173.79,19201.97,6659.77279
2022-10-22 22:00:00,19201.97,19208.9,19183.77,19204.35,5980.79354
2022-10-23 00:00:00,19204.29,19219.76,19163.32,19179.22,6998.86986
2022-10-23 02:00:00,19179.22,19208.53,19175.0,19197.59,7761.26908
2022-10-23 04:00:00,19197.55,19221.71,19170.0,19178.98,8837.65043
2022-10-23 06:00:00,19178.98,19188.5,19148.01,19162.37,7956.56432
2022-10-23 08:00:00,19162.16,19188.7,19150.0,19184.13,6236.08103
2022-10-23 10:00:00,19184.13,19188.08,19125.63,19151.78,9235.01264
2022-10-23 12:00:00,19151.24,19180.31,19070.11,19176.27,11694.71707
2022-10-23 14:00:00,19176.27,19213.14,19173.61,19190.14,10429.57969
2022-10-23 16:00:00,19190.14,19500.0,19169.18,19476.02,21328.2435
2022-10-23 18:00:00,19474.75,19553.96,19399.65,19499.83,26522.90997
2022-10-23 20:00:00,19500.38,19599.0,19441.96,19538.12,15790.41135
2022-10-23 22:00:00,19538.12,19695.0,19517.93,19570.4,34265.8929
2022-10-24 00:00:00,19570.4,19601.15,19366.0,19412.47,27768.80347
2022-10-24 02:00:00,19411.49,19477.45,19342.33,19391.97,18457.3816
2022-10-24 04:00:00,19391.97,19392.41,19260.0,19336.43,18558.94167
2022-10-24 06:00:00,19335.76,19366.0,19250.59,19322.4,26562.57577
2022-10-24 08:00:00,19322.4,19405.43,19292.3,19382.51,16818.83802
2022-10-24 10:00:00,19381.48,19444.44,19362.13,19423.63,21859.34593
2022-10-24 12:00:00,19422.9,19450.9,19294.33,19352.4,33953.80234
2022-10-24 14:00:00,19352.4,19356.56,19157.0,19301.96,37189.2438
2022-10-24 16:00:00,19301.96,19318.64,19223.0,19285.52,15799.63534
2022-10-24 18:00:00,19284.65,19425.05,19281.85,19343.23,17790.37896
2022-10-24 20:00:00,19343.95,19419.15,19301.11,19366.42,12139.65145
2022-10-24 22:00:00,19366.42,19373.95,19303.2,19329.72,9269.54632
2022-10-25 00:00:00,19330.6,19339.6,19250.0,19297.63,13528.35189
2022-10-25 02:00:00,19298.15,19365.32,19276.38,19342.02,9361.25425
2022-10-25 04:00:00,19342.41,19377.1,19290.36,19336.61,8897.24006
2022-10-25 06:00:00,19336.61,19366.31,19272.85,19306.75,12791.35746
2022-10-25 08:00:00,19306.34,19322.42,19255.04,19265.57,11757.14998
2022-10-25 10:00:00,19265.57,19327.16,19237.0,19302.13,11999.7173
2022-10-25 12:00:00,19301.39,19526.17,19260.82,19478.39,35119.37903
2022-10-25 14:00:00,19478.39,19811.0,19445.0,19748.48,52838.5371
2022-10-25 16:00:00,19748.48,20192.97,19718.0,20118.55,64862.54962
2022-10-25 18:00:00,20118.55,20415.87,20078.23,20273.14,54234.56031
2022-10-25 20:00:00,20276.26,20296.92,20007.0,20232.3,33360.76339
2022-10-25 22:00:00,20231.0,20235.41,19981.12,20080.07,17619.81022
2022-10-26 00:00:00,20079.02,20293.78,20050.41,20230.32,25434.90521
2022-10-26 02:00:00,20230.32,20308.0,20172.59,20251.17,19755.24879
2022-10-26 04:00:00,20250.55,20276.77,20129.24,20187.92,19399.187
2022-10-26 06:00:00,20187.92,20382.56,20168.57,20344.76,29122.64866
2022-10-26 08:00:00,20344.05,20783.27,20281.79,20593.69,46909.51661
2022-10-26 10:00:00,20594.85,20749.68,20537.8,20607.81,27608.13641
2022-10-26 12:00:00,20606.86,20622.0,20338.75,20552.69,40435.19275
2022-10-26 14:00:00,20552.69,21020.0,20551.74,20846.66,68202.07189
2022-10-26 16:00:00,20846.66,20997.13,20669.25,20823.72,38615.33802
2022-10-26 18:00:00,20822.6,20869.18,20639.98,20763.54,26160.76057
2022-10-26 20:00:00,20764.52,20852.94,20694.28,20739.38,18028.94139
2022-10-26 22:00:00,20739.38,20907.0,20700.0,20771.59,20820.74846
