phase,P1_bars,P2_bars,P3_bars,LFP,P1_vol,P2_vol,P3_vol,LFP_vol
accumulation,30.0,15.0,10.0,0.8527004156374867,7.5,7.5,7.5,0.6235450018412981
bear,30.0,15.0,10.0,0.8827585808940346,15.0,10.0,6.0,0.6287113515282283
distribution,30.0,15.0,10.0,0.8721335283339882,7.5,7.5,6.0,0.6152169418859664
euphoria,30.0,15.0,10.0,0.9232827750274676,15.0,8.75,7.5,0.5813820788789974
expansion,30.0,15.0,10.0,0.8937747185425752,7.5,6.0,7.5,0.6342232839140506
unknown,30.0,15.0,7.5,0.8965325882395312,15.0,30.0,6.0,0.692588407649046
