phase,start,end,d1_candles,h2_bars
expansion,2021-04-01 00:00:00,2021-04-18 00:00:00,18,216
distribution,2021-04-18 00:00:00,2021-04-30 00:00:00,13,156
expansion,2021-04-30 00:00:00,2021-04-30 00:00:00,1,12
