K,AIC_mean,AIC_median,BIC_mean,BIC_median,LL_mean,LL_median,count
10,763049.1574879264,757524.2169564178,765117.5159352686,759592.5754037602,-791747.0591872856,-241133.62422016688,60
9,778565.1906003183,771511.8943156243,780347.9598059772,773294.6635212833,-620558.2226082784,-242612.82805792487,60
8,805041.3510986686,805259.2041433479,806555.8395015344,806773.6925462137,-1098919.5032003263,-244209.93235069053,60
7,834172.2244029626,822046.4831780052,835435.7404419248,823309.9992169675,-1052586.404891457,-247284.05661806808,60
6,846976.8058940588,837859.2932654072,848006.6580080076,838889.1453793559,-251520.56864232282,-245566.20815017802,60
5,894324.6214291491,884525.5396810835,895138.118056974,885339.0363089084,-255158.60279580124,-248567.66036139982,60
4,936023.6138004424,944671.6162069665,936638.0633810337,945286.0657875577,-260336.3937452404,-257641.66318839852,60
3,970406.0729866307,968145.3130435157,970838.783958878,968578.0240157628,-255836.5512153804,-254696.33970261912,60
2,1052159.3984219055,1052259.3399135727,1052427.6792246988,1052527.620716366,-264792.36735439097,-264795.07253991143,60
