phase,start,end,d1_candles,h2_bars
expansion,2025-03-01 00:00:00,2025-03-02 06:00:00,2,16
euphoria,2025-03-02 06:00:00,2025-03-19 06:00:00,18,205
expansion,2025-03-19 06:00:00,2025-03-24 22:00:00,6,69
euphoria,2025-03-24 22:00:00,2025-03-31 00:00:00,8,74
