phase,start,end,d1_candles,h2_bars
euphoria,2016-09-01 00:00:00,2016-09-09 04:00:00,9,99
expansion,2016-09-09 04:00:00,2016-09-14 20:00:00,6,69
euphoria,2016-09-14 20:00:00,2016-09-30 00:00:00,17,183
