phase,P1_bars,P2_bars,P3_bars,LFP,P1_vol,P2_vol,P3_vol,LFP_vol
accumulation,360.0,180.0,120.0,0.9455898757535632,120.0,90.0,90.0,0.25762727497248017
bear,360.0,180.0,120.0,0.9003481903530064,360.0,180.0,72.0,0.34124514938458533
distribution,360.0,180.0,120.0,0.8709554900202559,90.0,90.0,72.0,0.21532742773219432
expansion,360.0,180.0,120.0,0.959145153120476,360.0,120.0,81.0,0.40815193264399385
