phase,P1_bars,P2_bars,P3_bars,LFP,P1_vol,P2_vol,P3_vol,LFP_vol
accumulation,30.0,15.0,10.0,0.8482670759381752,7.5,7.5,3.75,0.585865983938486
bear,30.0,15.0,10.0,0.8857204066657715,7.5,7.5,7.5,0.6708678656820741
distribution,30.0,15.0,10.0,0.8796645747160426,7.5,6.0,6.0,0.5621161729885219
euphoria,30.0,15.0,10.0,0.9316426794129771,7.5,6.0,3.333333333333333,0.6538435336524961
expansion,30.0,15.0,10.0,0.8419474376446382,7.5,6.0,6.0,0.7329798848727206
unknown,15.0,10.0,30.0,0.8578713045282013,30.0,7.5,2.142857142857143,0.5924989716233822
