phase,start,end,d1_candles,h2_bars
euphoria,2011-09-01 00:00:00,2011-09-17 04:00:00,17,195
expansion,2011-09-17 04:00:00,2011-09-22 20:00:00,6,69
euphoria,2011-09-22 20:00:00,2011-09-30 00:00:00,9,87
