date,symbol,timeframe,P1_bars,P2_bars,P3_bars,P4_bars,P5_bars,P6_bars,LFP,P1_vol,P2_vol,P3_vol,LFP_vol,source_csv
2h,BTC,USDT,349.0,116.33333333333331,69.8,23.26666666666667,19.38888888888889,26.846153846153843,0.9302557905488952,,,,,outputs/fourier/monthly/2025/04/FREQ_BTC_USDT_2h_2025-04.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,90.25,72.2,51.57142857142858,0.8192644170092072,,,,,outputs/fourier/monthly/2025/03/FREQ_BTC_USDT_2h_2025-03.csv
2h,BTC,USDT,325.0,65.0,81.25,54.16666666666667,108.33333333333334,20.3125,0.7210700075881707,,,,,outputs/fourier/monthly/2025/02/FREQ_BTC_USDT_2h_2025-02.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,72.2,45.125,18.05,0.9195062992256616,,,,,outputs/fourier/monthly/2025/01/FREQ_BTC_USDT_2h_2025-01.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,90.25,51.57142857142858,60.16666666666666,0.9178241086609222,,,,,outputs/fourier/monthly/2024/12/FREQ_BTC_USDT_2h_2024-12.csv
2h,BTC,USDT,349.0,116.33333333333331,174.5,87.25,58.16666666666666,23.26666666666667,0.964951228524293,,,,,outputs/fourier/monthly/2024/11/FREQ_BTC_USDT_2h_2024-11.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,51.57142857142858,90.25,40.11111111111111,0.9478849932286764,,,,,outputs/fourier/monthly/2024/10/FREQ_BTC_USDT_2h_2024-10.csv
2h,BTC,USDT,349.0,116.33333333333331,174.5,87.25,58.16666666666666,69.8,0.9130091579382266,,,,,outputs/fourier/monthly/2024/09/FREQ_BTC_USDT_2h_2024-09.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,90.25,45.125,60.16666666666666,0.7058478445068879,,,,,outputs/fourier/monthly/2024/08/FREQ_BTC_USDT_2h_2024-08.csv
2h,BTC,USDT,361.0,180.5,72.2,60.16666666666666,120.33333333333331,90.25,0.971645631373312,,,,,outputs/fourier/monthly/2024/07/FREQ_BTC_USDT_2h_2024-07.csv
2h,BTC,USDT,349.0,174.5,38.77777777777778,116.33333333333331,43.625,31.727272727272727,0.8914460983718635,,,,,outputs/fourier/monthly/2024/06/FREQ_BTC_USDT_2h_2024-06.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,60.16666666666666,51.57142857142858,32.81818181818182,0.9130661299581688,,,,,outputs/fourier/monthly/2024/05/FREQ_BTC_USDT_2h_2024-05.csv
2h,BTC,USDT,174.5,349.0,116.33333333333331,43.625,49.85714285714286,24.92857142857143,0.8605645787693132,,,,,outputs/fourier/monthly/2024/04/FREQ_BTC_USDT_2h_2024-04.csv
2h,BTC,USDT,180.5,361.0,120.33333333333331,51.57142857142858,27.769230769230766,45.125,0.8229798407184247,,,,,outputs/fourier/monthly/2024/03/FREQ_BTC_USDT_2h_2024-03.csv
2h,BTC,USDT,337.0,168.5,67.39999999999999,56.16666666666666,84.25,22.466666666666665,0.9634125003393555,,,,,outputs/fourier/monthly/2024/02/FREQ_BTC_USDT_2h_2024-02.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,90.25,72.2,60.16666666666666,0.9183528013209872,,,,,outputs/fourier/monthly/2024/01/FREQ_BTC_USDT_2h_2024-01.csv
2h,BTC,USDT,180.5,72.2,90.25,60.16666666666666,51.57142857142858,120.33333333333331,0.760478041585956,,,,,outputs/fourier/monthly/2023/12/FREQ_BTC_USDT_2h_2023-12.csv
2h,BTC,USDT,349.0,116.33333333333331,174.5,87.25,43.625,29.08333333333333,0.5586617079771939,,,,,outputs/fourier/monthly/2023/11/FREQ_BTC_USDT_2h_2023-11.csv
2h,BTC,USDT,361.0,180.5,90.25,45.125,120.33333333333331,51.57142857142858,0.9776875181019856,,,,,outputs/fourier/monthly/2023/10/FREQ_BTC_USDT_2h_2023-10.csv
