phase,start,end,d1_candles,h2_bars
euphoria,2022-08-01 00:00:00,2022-08-10 06:00:00,10,112
expansion,2022-08-10 06:00:00,2022-08-15 22:00:00,6,69
euphoria,2022-08-15 22:00:00,2022-08-31 00:00:00,17,182
