phase,start,end,d1_candles,h2_bars
euphoria,2021-05-01 00:00:00,2021-05-23 16:00:00,23,273
expansion,2021-05-23 16:00:00,2021-05-27 22:00:00,5,52
euphoria,2021-05-27 22:00:00,2021-05-31 00:00:00,5,38
