label,duration_days,duration_h2_bars,dsh_mid_median,P1_med,P2_med,P3_med,P4_med,P5_med,P6_med,LFP_mean
down,1.0,23.0,633.0,360.0,180.0,120.0,,,,0.9055425012511596
range,8.5,103.0,647.0,360.0,180.0,120.0,,,,0.8953319698375711
up,2.0,29.0,653.0,360.0,180.0,120.0,,,,0.9158743166016347
