K,AIC,BIC,LL_OOS
6,498779.59771342814,499741.4713522148,-123545.84514348178
5,514169.5918604612,514929.39120538515,-123712.63223277901
4,522817.2682353808,523391.15922995104,-119704.83479110851
3,586700.9883584777,587105.1369462032,-127480.02712731733
