phase,start,end,d1_candles,h2_bars
euphoria,2022-03-01 00:00:00,2022-03-13 02:00:00,13,146
expansion,2022-03-13 02:00:00,2022-03-15 22:00:00,3,35
euphoria,2022-03-15 22:00:00,2022-03-23 00:00:00,9,86
expansion,2022-03-23 00:00:00,2022-03-25 20:00:00,3,35
euphoria,2022-03-25 20:00:00,2022-03-31 00:00:00,7,63
