phase,start,end,d1_candles,h2_bars
distribution,2019-05-01 00:00:00,2019-05-11 22:00:00,11,132
accumulation,2019-05-11 22:00:00,2019-05-16 18:00:00,6,59
distribution,2019-05-16 18:00:00,2019-05-31 22:00:00,16,183
