date,M,V_ann,DD,LFP,regime3,phase5,phase6
2022-01-04,-0.03166312344683486,,-0.09891838741396264,0.8578713045282013,range,unknown,unknown
2022-01-05,-0.03799663849082968,0.5857629975357993,-0.14580530973451322,0.8875448730010798,range,distribution,distribution
2022-01-06,-0.04410124985110819,0.5853615883680985,-0.15245624385447398,0.9126271144172122,range,distribution,distribution
2022-01-07,-0.05189957999671091,0.5953824113178835,-0.1831728613569321,0.9328414778062591,down,distribution,distribution
2022-01-08,-0.058532638899115974,0.5638591873079064,-0.18012251720747302,0.9419069731764608,down,distribution,distribution
2022-01-09,-0.06406522826195094,0.5643687764582456,-0.17648357915437565,0.9466089085678012,down,distribution,distribution
2022-01-10,-0.06894382257255915,0.5341308821057571,-0.17708121927236975,0.9517030842632492,down,distribution,distribution
2022-01-11,-0.07177293981242439,0.5376838017817327,-0.15956735496558505,0.9550227912715902,down,distribution,distribution
2022-01-12,-0.07227493311501088,0.4956998885763965,-0.13601769911504424,0.953508943478283,down,distribution,distribution
2022-01-13,-0.07476234714233776,0.4873103252577517,-0.16279370698131757,0.9549687459329304,down,distribution,distribution
2022-01-14,-0.0760086031340036,0.4882540809980151,-0.1523628318584071,0.9566960624265376,down,distribution,distribution
2022-01-15,-0.07699081137574504,0.48251832308093523,-0.1523695181907571,0.9582955256129088,down,distribution,distribution
2022-01-16,-0.07772619588671248,0.47221540613955976,-0.15225762045231078,0.9605883493357747,down,distribution,distribution
2022-01-17,-0.07961851272605336,0.47211533282329077,-0.1690251720747296,0.9644220796747908,down,distribution,distribution
2022-01-18,-0.0809749807777923,0.47263207282720543,-0.16661946902654864,0.9686252360245646,down,distribution,distribution
2022-01-19,-0.0831691417527255,0.47398447035345853,-0.18027118977384465,0.9720715154856808,down,distribution,distribution
2022-01-20,-0.08652299802587027,0.44813895537358805,-0.19889773844641095,0.9730183339460176,down,distribution,distribution
2022-01-21,-0.09628867946568909,0.5761780858788234,-0.2822918387413963,0.9700867759905224,down,distribution,distribution
2022-01-22,-0.10719928668326029,0.5502873832537982,-0.30990934119960667,0.9616876147653436,down,distribution,distribution
2022-01-23,-0.11482945097209751,0.571981688337435,-0.2862611602753195,0.9477925236854062,down,distribution,distribution
2022-01-24,-0.12077019464588068,0.5775349453976303,-0.27777797443461166,0.9250286173909846,down,distribution,distribution
2022-01-25,-0.12548348540072451,0.5775024187237662,-0.27284346116027525,0.8953361508823645,down,distribution,distribution
2022-01-26,-0.1297558023967531,0.5770653111938334,-0.2757262536873156,0.88318916238851,down,distribution,distribution
2022-01-27,-0.13273886801637513,0.5472513061288499,-0.26827217305801376,0.8937241659035893,down,distribution,distribution
2022-01-28,-0.13428449881216975,0.5502056455250368,-0.25765270403146506,0.9110131835124248,down,distribution,distribution
2022-01-29,-0.13469868528418338,0.5490385119791451,-0.24891543756145523,0.9265180540436876,down,distribution,distribution
2022-01-30,-0.135285101488406,0.5470201971722242,-0.2538481809242871,0.9369524231031858,down,distribution,distribution
2022-01-31,-0.13465167140839762,0.5335183342928298,-0.24303008849557525,0.9440216157021888,down,distribution,distribution
2022-02-01,-0.13345607420688876,0.5355193664447542,-0.2382882989183874,0.9475141073825016,down,distribution,distribution
2022-02-02,-0.13529821911390982,0.5529174940102844,-0.27387413962635204,0.9485326655048112,down,distribution,distribution
2022-02-03,-0.136046875803862,0.5561284553504738,-0.26607453294001965,0.9476867987067896,down,distribution,distribution
2022-02-04,-0.12910334412685687,0.661223409363284,-0.1823093411996067,0.9475559442418678,down,distribution,distribution
2022-02-05,-0.1229647002968497,0.6608789445707824,-0.1852955752212389,0.948998862265072,down,distribution,distribution
2022-02-06,-0.11556929013182204,0.6535543387392221,-0.1657769911504425,0.9531530969187736,down,distribution,distribution
2022-02-07,-0.10628338657756475,0.6635146298301835,-0.13728534906588002,0.958932925549372,down,distribution,distribution
2022-02-08,-0.09746083185545906,0.6635509656217903,-0.13290934119960673,0.9643234249358134,down,distribution,distribution
2022-02-09,-0.08887306448525001,0.6637977688851251,-0.126315830875123,0.9686254962660328,down,distribution,distribution
2022-02-10,-0.08263988975919545,0.6646104618014743,-0.14405899705014752,0.9696645441883252,down,distribution,distribution
2022-02-11,-0.07887768964374053,0.6635050591110266,-0.16605329400196653,0.9662541802763988,down,distribution,distribution
2022-02-12,-0.07567719730974731,0.6545654506592457,-0.16929970501474925,0.9600829046563406,down,distribution,distribution
2022-02-13,-0.07297888168064248,0.6530680878633511,-0.17251248770894792,0.949247549591267,down,distribution,distribution
2022-02-14,-0.06965378045870674,0.654349301076951,-0.16341592920353976,0.9356435266659964,down,distribution,distribution
2022-02-15,-0.06305998870138074,0.6748645059648547,-0.12325506391347094,0.9241238840528434,down,distribution,distribution
2022-02-16,-0.05826265640163508,0.6732481211350689,-0.13664739429695175,0.9148905292108478,down,distribution,distribution
2022-02-17,-0.05964712987641152,0.7294057779376517,-0.2024363815142576,0.9081565270107362,down,distribution,distribution
2022-02-18,-0.06174127193953516,0.7287791064527217,-0.21343185840707968,0.911577705582198,down,distribution,distribution
2022-02-19,-0.06330703211017763,0.7246947679013431,-0.2112287118977385,0.9218821055415763,down,distribution,distribution
2022-02-20,-0.06760299385024315,0.6298847738998711,-0.24535103244837755,0.9321617459766098,down,distribution,distribution
2022-02-21,-0.07358395892147429,0.6261369055023803,-0.2708633235004917,0.9414724571519912,down,distribution,distribution
2022-02-22,-0.07671480640340533,0.6248843786635384,-0.24739547689282199,0.94915068506779,down,distribution,distribution
