date,M,V_ann,DD,LFP,regime3,phase5,phase6
2017-09-25,-0.00843021086841136,0.20369039991305057,-0.23227815130782925,0.5192437107352711,range,,
2017-09-26,0.008696576814145736,0.20588637138701874,-0.20960091706441417,0.5083245985858761,range,,
2017-09-27,0.028904899144433595,0.2012881489151419,-0.17904472924505416,0.5416201329972639,range,,
2017-09-28,0.04666837411079666,0.1899908587612073,-0.1564885941988528,0.5472827619090651,range,,
2017-09-29,0.04716507174974639,0.2101532031280044,-0.1555179500760947,0.5150509639919991,range,,
2017-09-30,0.0456088985112077,0.23608321418282702,-0.13930308656804619,0.517351589858876,range,,
2017-10-01,0.05185480228862527,0.21448177691240802,-0.11878045223673576,0.5420419680184951,range,,
2017-10-02,0.052812994796317236,0.17552048660281097,-0.09765340360368314,0.5224591807597686,range,,
2017-10-03,0.041416479779631005,0.17954238972158484,-0.09113789225163713,0.494178104621812,range,,
2017-10-04,0.020162127944085628,0.19907832617614424,-0.11018781000875603,0.5269558322986118,range,,
2017-10-05,0.00889168277851134,0.19163709175369142,-0.10698268718497828,0.5743247540701237,range,,
2017-10-06,0.014912808688989783,0.16849683746584876,-0.08828672834761415,0.5510475626658083,range,,
2017-10-07,0.020279089062244786,0.15351532245495525,-0.08011634385812616,0.503599994907544,range,,
2017-10-08,0.02591144052175237,0.14453534491872375,-0.04303309927080509,0.5345738331103144,range,,
2017-10-09,0.04335792627032472,0.13344593960068066,-0.0026184883163437546,0.588281517670347,range,,
2017-10-10,0.058804237322368724,0.14206975863162136,-0.008850208224247135,0.5648474143696448,range,,
2017-10-11,0.05561556027837022,0.16225820026092064,-0.021447956110770487,0.5342431066516689,range,,
2017-10-12,0.06425698021112303,0.19780569380857319,-0.011829621433959547,0.5533223331150242,range,,
2017-10-13,0.10326478795670607,0.2723659474179717,-0.00736833333980406,0.5749313734695362,range,,
2017-10-14,0.1224470623702005,0.3216300983572268,-0.015407728497177918,0.601797883407603,range,,
2017-10-15,0.10298277560753374,0.3168784666015925,-0.035326560247828556,0.6535531833024972,range,,
2017-10-16,0.07903373932073188,0.2962565361731463,-0.041036344494804894,0.6870378985714265,range,,
2017-10-17,0.059966142266905643,0.26593860657079,-0.0499381078315255,0.6860370477945694,range,,
2017-10-18,0.03353416631389788,0.25066111740019414,-0.07536608427488992,0.6850706157278034,range,,
2017-10-19,0.020741090030310647,0.27351882231229885,-0.05990670024999796,0.6810245404719525,range,,
2017-10-20,0.035270751703523465,0.2753780856079001,-0.02189027747502086,0.6654456176360148,range,,
2017-10-21,0.055822894900779046,0.25207295717672373,-0.012001743611222176,0.6609020408822289,range,,
2017-10-22,0.055472507135178414,0.24058428136464552,-0.029065569278967793,0.6713398105365986,range,,
2017-10-23,0.037408473338544516,0.23776019955976538,-0.04781281393389714,0.6642400091406993,range,,
2017-10-24,0.011770059682574874,0.2765695392735652,-0.08260494278134874,0.6456532380059908,range,,
2017-10-25,-0.011543507848125287,0.3248399945892595,-0.1009544175437463,0.6562660684382748,range,,
2017-10-26,-0.004882021057167323,0.3049701198557543,-0.06508991873564374,0.6729559547342074,range,,
2017-10-27,0.012929293292817078,0.2406032262482033,-0.04944512007127408,0.6566072395261492,range,,
2017-10-28,0.008296460111055129,0.19265355838535994,-0.06991580761726103,0.6359615351583418,range,,
2017-10-29,0.007524065679171112,0.18019581909693566,-0.05016559834726846,0.6399309532432969,range,,
2017-10-30,0.026846306459532197,0.18167807050140522,-0.009752433184239188,0.6425211899242603,range,,
2017-10-31,0.04197033295320383,0.16899461521773634,-0.0020167732033916828,0.6250077355701891,range,,
2017-11-01,0.05614075927164886,0.15495212097357022,-0.003458017248861396,0.6172013725260797,range,,
2017-11-02,0.08004045201050827,0.16768873896591877,-0.002069147269094012,0.6484152766576838,range,,
2017-11-03,0.09526186227962202,0.196188325507245,-0.009867951412131067,0.6802436033644613,range,,
2017-11-04,0.09289236410696554,0.21135277261075583,-0.009632365613635747,0.6798305426742585,range,,
2017-11-05,0.08849296322109318,0.20883071285506746,-0.008233922936237145,0.679773568149619,range,,
2017-11-06,0.07131306743215161,0.2003912030259566,-0.0410846138696892,0.6991737002417722,range,,
2017-11-07,0.0420814985587778,0.19100382379911368,-0.06140970337944827,0.7086214138551356,range,,
2017-11-08,0.032641145158520506,0.22746015943090925,-0.041587880277096693,0.6872718735572668,range,,
2017-11-09,0.031981569272290074,0.3065790355473054,-0.04008030194897975,0.662388324595466,range,,
2017-11-10,0.012945832091985802,0.33003345575131554,-0.08087610325125744,0.6602816171683142,range,,
2017-11-11,-0.026771079245672263,0.30987373784985267,-0.15021868348887685,0.6535837276254993,range,,
2017-11-12,-0.06639804713213661,0.3627366610562641,-0.19745369947425662,0.6359179675734883,range,,
2017-11-13,-0.06831815657012626,0.447258532726659,-0.17805694723450266,0.6536993082789117,range,,
2017-11-14,-0.03776142595565867,0.4170865640949731,-0.1386430082476339,0.6859574448682294,range,,
2017-11-15,-0.0001079271369387887,0.29773509886577415,-0.08584411874160391,0.6833151410002307,range,,
2017-11-16,0.04681326799807705,0.2383318940768978,-0.023781075744081667,0.6792947160708535,range,,
2017-11-17,0.0802620902224713,0.296322012902174,-0.01472057147075014,0.7141164605130338,range,,
2017-11-18,0.07711217463454179,0.3528198606365627,-0.030116828643236792,0.7476985371578521,range,,
2017-11-19,0.06497294666460571,0.2884191858606669,-0.01745329107252297,0.7360588907862348,range,,
2017-11-20,0.06764912318544627,0.18462646530653457,-0.003359803947753532,0.714654185942319,range,,
