month,symbol,timeframe,STFT_domP_bars,STFT_LFP_like,CWT_domScale_bars,CWT_LFP_like
2011-08,BTC_USD,2h,,0.20176109968108155,81.0,0.2964628432748972
2011-09,BTC_USD,2h,,0.20109500730348115,180.0,0.45391157447364683
2011-10,BTC_USD,2h,,0.20286893560845745,151.29883889098895,0.4813657035855038
2011-11,BTC_USD,2h,,0.19400950577952403,142.51629196295193,0.42719429488037625
2011-12,BTC_USD,2h,,0.20012359049448697,185.99999999999997,0.36500094844229625
2012-01,BTC_USD,2h,,0.20184155289169414,185.99999999999997,0.46116627659648207
2012-02,BTC_USD,2h,,0.1996497270816489,174.0,0.4063569889191224
2012-03,BTC_USD,2h,,0.20032330256034603,151.29883889098895,0.4380448330447883
2012-04,BTC_USD,2h,,0.1999763994176636,180.0,0.422470355998352
2012-05,BTC_USD,2h,,0.19969608582888818,185.99999999999997,0.43178064917384407
2012-06,BTC_USD,2h,,0.200388782998386,180.0,0.40276861979663936
2012-07,BTC_USD,2h,,0.20017630065609082,151.29883889098895,0.4060335096882829
2012-08,BTC_USD,2h,,0.20068359589503706,151.29883889098895,0.46357365630162567
2012-09,BTC_USD,2h,,0.2008887693358047,180.0,0.4083076028557931
2012-10,BTC_USD,2h,,0.19963554063006939,185.99999999999997,0.41267234584571966
2012-11,BTC_USD,2h,,0.1997530428225717,180.0,0.42604654838728745
2012-12,BTC_USD,2h,,0.20031171294154945,185.99999999999997,0.4327862708220601
2013-01,BTC_USD,2h,,0.19980313956267123,185.99999999999997,0.4000373133086209
2013-02,BTC_USD,2h,,0.19909143130072415,139.375834348876,0.3960637699240596
2013-03,BTC_USD,2h,,0.20190108554170094,185.99999999999997,0.42905186588839817
2013-04,BTC_USD,2h,,0.20780640540079928,180.0,0.5241639576492945
2013-05,BTC_USD,2h,,0.2010815482476133,185.99999999999997,0.44802445839994653
2013-06,BTC_USD,2h,,0.20127049855712756,180.0,0.44257735304943907
2013-07,BTC_USD,2h,,0.1991563658979465,151.29883889098895,0.4202499935718618
2013-08,BTC_USD,2h,,0.20063065039757869,185.99999999999997,0.43191255633222964
2013-09,BTC_USD,2h,,0.199600603058913,147.35041727543984,0.40810400454001183
2013-10,BTC_USD,2h,,0.19889179061497944,185.99999999999997,0.39083624722420524
2013-11,BTC_USD,2h,,0.2037797780512577,180.0,0.43121793401076486
2013-12,BTC_USD,2h,,0.20049732350155716,151.29883889098895,0.3927155278414164
2014-01,BTC_USD,2h,,0.20115843433723188,185.99999999999997,0.4517590548511333
2014-02,BTC_USD,2h,,0.19963142028300174,168.0,0.4245257050591898
2014-03,BTC_USD,2h,,0.20108818625444427,185.99999999999997,0.4731259504802808
2014-04,BTC_USD,2h,,0.20017581800088247,147.35041727543984,0.44935619813214894
2014-05,BTC_USD,2h,,0.1999395442384282,185.99999999999997,0.45180528341920595
2014-06,BTC_USD,2h,,0.20039801608429164,180.0,0.4023174755831642
2014-07,BTC_USD,2h,,0.19994069642529608,185.99999999999997,0.4194090804353567
2014-08,BTC_USD,2h,,0.20001252375534898,185.99999999999997,0.415031027066319
2014-09,BTC_USD,2h,,0.20133949124791278,142.51629196295193,0.43976998396263195
2014-10,BTC_USD,2h,,0.19896869825237726,151.29883889098895,0.37647289677858103
2014-11,BTC_USD,2h,,0.2006161248703439,147.35041727543984,0.43767920988162373
2014-12,BTC_USD,2h,,0.2007927097432272,185.99999999999997,0.4326748053842356
2015-01,BTC_USD,2h,,0.20010837012883873,185.99999999999997,0.42316138496400263
2015-02,BTC_USD,2h,,0.19940261043370203,135.10368041489232,0.3949103350187878
2015-03,BTC_USD,2h,,0.20042367676389308,151.29883889098895,0.41136803244616954
2015-04,BTC_USD,2h,,0.2002091930073697,180.0,0.43470084998467673
2015-05,BTC_USD,2h,,0.20016753275824048,185.99999999999997,0.42149687506101446
2015-06,BTC_USD,2h,,0.19997457705636254,147.35041727543984,0.4053203978976202
2015-07,BTC_USD,2h,,0.2001383862827978,185.99999999999997,0.43944104629886205
2015-08,BTC_USD,2h,,0.20006868992301136,151.29883889098895,0.43909872364828334
2015-09,BTC_USD,2h,,0.19994673908213725,180.0,0.42167758914183295
2015-10,BTC_USD,2h,,0.1986223258153785,151.29883889098895,0.4272221901747156
2015-11,BTC_USD,2h,,0.20236537848940206,180.0,0.44283481897233656
2015-12,BTC_USD,2h,,0.19996036160374073,151.29883889098895,0.42211204388896223
2016-01,BTC_USD,2h,,0.20000818953262411,185.99999999999997,0.41242147961444076
2016-02,BTC_USD,2h,,0.20039243972970627,174.0,0.40424122688076103
2016-03,BTC_USD,2h,,0.19981531867651361,151.29883889098895,0.42121483682426686
2016-04,BTC_USD,2h,,0.2001433921945238,180.0,0.43421579128414706
2016-05,BTC_USD,2h,,0.19961870285177027,151.29883889098895,0.42145678453965346
2016-06,BTC_USD,2h,,0.2007435673818178,147.35041727543984,0.4259660324016502
2016-07,BTC_USD,2h,,0.20061906794756978,151.29883889098895,0.42963470544293336
2016-08,BTC_USD,2h,,0.19945083324786497,185.99999999999997,0.41580307325730076
2016-09,BTC_USD,2h,,0.20014781105832122,180.0,0.4219822299532207
2016-10,BTC_USD,2h,,0.1999616837750465,151.29883889098895,0.4321436407522213
2016-11,BTC_USD,2h,,0.19984169417543718,180.0,0.40527859108130926
2016-12,BTC_USD,2h,,0.19981900529476282,185.99999999999997,0.4318082299062164
2017-01,BTC_USD,2h,,0.2005991050128809,185.99999999999997,0.44158001555222753
2017-02,BTC_USD,2h,,0.19995915860238628,168.0,0.4207501239521221
