date,symbol,timeframe,P1_bars,P2_bars,P3_bars,LFP,P1_vol,P2_vol,P3_vol,LFP_vol
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9717086741760111,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9247836066276636,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9201872938917206,,,,
2h,BTC,USD,349.0,174.5,116.33333333333331,0.9191167182645226,,,,
2h,BTC,USD,349.0,87.25,69.8,0.8698530756949109,,,,
2h,BTC,USD,180.5,361.0,120.33333333333331,0.8714351381514684,,,,
2h,BTC,USD,361.0,180.5,90.25,0.9773424401711964,,,,
2h,BTC,USD,174.5,349.0,87.25,0.7932324997367612,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9748570638149532,,,,
2h,BTC,USD,349.0,174.5,58.16666666666666,0.9443285174504956,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9063636015326162,,,,
2h,BTC,USD,361.0,60.16666666666666,51.57142857142858,0.6705956021672439,,,,
2h,BTC,USD,325.0,46.42857142857143,108.33333333333334,0.8061333265664956,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.968850308238628,,,,
2h,BTC,USD,349.0,174.5,116.33333333333331,0.8552999381827368,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9824208963132044,,,,
2h,BTC,USD,349.0,174.5,116.33333333333331,0.9041165933548078,,,,
2h,BTC,USD,361.0,90.25,120.33333333333331,0.8110578882485578,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9417825547366488,,,,
2h,BTC,USD,349.0,174.5,116.33333333333331,0.958890318513045,,,,
2h,BTC,USD,361.0,180.5,72.2,0.925313520134631,,,,
2h,BTC,USD,361.0,72.2,180.5,0.8102455714433926,,,,
2h,BTC,USD,349.0,174.5,69.8,0.8432073606822869,,,,
2h,BTC,USD,174.5,349.0,116.33333333333331,0.7782243265411605,,,,
2h,BTC,USD,325.0,162.5,81.25,0.9668288135721572,,,,
2h,BTC,USD,349.0,174.5,116.33333333333331,0.9565072356621698,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.8793490442345723,,,,
2h,BTC,USD,174.5,349.0,87.25,0.425209183793233,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.8823616040083722,,,,
2h,BTC,USD,361.0,60.16666666666666,51.57142857142858,0.7404125766963842,,,,
2h,BTC,USD,337.0,168.5,112.33333333333331,0.8976483627544394,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9124497712900946,,,,
2h,BTC,USD,349.0,174.5,87.25,0.8782828346597833,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.8681847437445275,,,,
2h,BTC,USD,349.0,174.5,87.25,0.9014734793961184,,,,
2h,BTC,USD,361.0,180.5,90.25,0.9183303862896016,,,,
