phase,start,end,d1_candles,h2_bars
distribution,2017-10-01 00:00:00,2017-10-13 04:00:00,13,147
accumulation,2017-10-13 04:00:00,2017-10-15 12:00:00,3,29
distribution,2017-10-15 12:00:00,2017-10-31 22:00:00,17,198
