phase,start,end,d1_candles,h2_bars
accumulation,2023-12-01 00:00:00,2023-12-11 00:00:00,11,132
expansion,2023-12-11 00:00:00,2023-12-15 00:00:00,5,60
accumulation,2023-12-15 00:00:00,2023-12-31 00:00:00,17,204
