label,duration_days,duration_h2_bars,P1_med,P2_med,P3_med,P4_med,P5_med,P6_med,LFP_mean
down,1.0,22.0,360.0,180.0,90.0,,,,0.9053875748268411
range,6.5,86.5,360.0,180.0,120.0,,,,0.8992766603253219
up,2.0,34.5,360.0,180.0,120.0,,,,0.9239465669289079
