label,duration_days,duration_h2_bars,P1_med,P2_med,P3_med,P4_med,P5_med,P6_med,LFP_mean
accumulation,1.0,15.5,360.0,180.0,90.0,,,,0.9400114341777871
bear,1.0,3.0,360.0,180.0,120.0,,,,0.9262069012905737
distribution,1.0,11.0,360.0,180.0,120.0,,,,0.9242473480335637
euphoria,1.0,2.5,360.0,135.0,81.0,,,,0.9840409039587459
expansion,1.0,6.5,360.0,180.0,120.0,,,,0.9603832343589478
