phase,start,end,d1_candles,h2_bars
euphoria,2020-10-01 00:00:00,2020-10-03 00:00:00,3,25
expansion,2020-10-03 00:00:00,2020-10-07 06:00:00,5,52
euphoria,2020-10-07 06:00:00,2020-10-31 00:00:00,25,286
