label,duration_days,duration_h2_bars,P1_med,P2_med,P3_med,P4_med,P5_med,P6_med,LFP_mean
down,20.0,240.0,30.0,15.0,10.0,,,,0.8914112526973483
range,11.0,132.0,30.0,15.0,10.0,,,,0.8064722360405991
up,24.5,294.0,30.0,15.0,10.0,,,,0.8981270289866183
