seed,eq_final,eq_pct,mdd_max,mdd_pct,trades_total,monthly_geo,monthly_pct,sharpe_mean,cagr,cagr_pct,folds,file
1003,1.8478444823750997,84.78444823750996,0.1493770529248808,14.93770529248808,423,0.003661567069777494,0.3661567069777494,10.77873206358889,0.04483456117938722,4.483456117938722,14,E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_1003\WFA_phase_K3_1D_STABLE_BTC_fused_20251018_224355.json
1001_test,1.340282647252479,34.028264725247894,0.12922666025238894,12.922666025238893,783,0.0017448569379119316,0.17448569379119316,-0.39040399609728516,0.02114039525203859,2.114039525203859,14,E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_1001_test\WFA_phase_K3_1D_STABLE_BTC_fused_20251019_070901.json
412,2.236027378836119,123.6027378836119,0.08008726755590623,8.008726755590622,401,0.0048013755532174685,0.48013755532174685,19.084145185595876,0.05916263457745474,5.916263457745474,14,E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_412\WFA_phase_K3_1D_STABLE_BTC_fused_20251101_175244.json
275,1.6391577214197128,63.91577214197128,0.12747270979458725,12.747270979458724,392,0.0029458932918857705,0.29458932918857705,7.562991661053023,0.03592914828750149,3.592914828750149,14,E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_275\WFA_phase_K3_1D_STABLE_BTC_fused_20251101_175556.json
97,1.2652308429213854,26.52308429213854,0.12227467688154492,12.227467688154492,462,0.0014013058535797818,0.14013058535797818,140.11128569509123,0.01694587896105859,1.6945878961058591,14,E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_97\WFA_phase_K3_1D_STABLE_BTC_fused_20251101_172300.json
692,1.3930124942351327,39.301249423513276,0.12997147925409047,12.997147925409047,432,0.0019749754622677695,0.19749754622677695,21.171428059014367,0.023958842713500683,2.3958842713500683,14,E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_692\WFA_phase_K3_1D_STABLE_BTC_fused_20251102_003418.json
480,2.12103350087533,112.10335008753299,0.12230737152575688,12.230737152575688,428,0.004485646422183409,0.4485646422183409,12.220613118192071,0.05517580276369771,5.517580276369771,14,E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_480\WFA_phase_K3_1D_STABLE_BTC_fused_20251102_003744.json
627,2.6020167565373957,160.20167565373958,0.06691798212732969,6.691798212732969,394,0.005708414710723586,0.5708414710723586,15.623994912273258,0.0706931060440561,7.06931060440561,14,E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_627\WFA_phase_K3_1D_STABLE_BTC_fused_20251101_172340.json
443,1.771884327862833,77.18843278628329,0.12228597235354366,12.228597235354366,389,0.003410824934064749,0.3410824934064749,13.805416096373362,0.04170652226831284,4.170652226831284,14,E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_443\WFA_phase_K3_1D_STABLE_BTC_fused_20251102_061940.json
254,2.532079705705838,153.20797057058383,0.08518401596702396,8.518401596702397,330,0.005545324558839937,0.5545324558839937,-0.5432617355908095,0.06861142305552104,6.861142305552104,14,E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_254\WFA_phase_K3_1D_STABLE_BTC_fused_20251101_170929.json
435,1.6769262116873043,67.69262116873043,0.09147404190150199,9.1474041901502,444,0.003081896938577744,0.3081896938577744,22.4042152827753,0.03761612186527885,3.761612186527885,14,E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_435\WFA_phase_K3_1D_STABLE_BTC_fused_20251101_171907.json
752,1.6226042830358351,62.26042830358352,0.09286625396554282,9.286625396554282,502,0.002885299968266475,0.2885299968266475,7.4022495441181215,0.035178365572782866,3.5178365572782866,14,E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_752\WFA_phase_K3_1D_STABLE_BTC_fused_20251101_234824.json
761,1.2449052807502494,24.49052807502494,0.12198805451686556,12.198805451686557,421,0.00130477576175414,0.130477576175414,1.6369112076897885,0.0157701602912248,1.57701602912248,14,E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_761\WFA_phase_K3_1D_STABLE_BTC_fused_20251031_204702.json
501,1.2467677086671076,24.67677086671076,0.11069023960467261,11.069023960467261,477,0.0013136857564022275,0.13136857564022275,5.782486316372435,0.01587863015813551,1.587863015813551,14,E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_501\WFA_phase_K3_1D_STABLE_BTC_fused_20251102_073700.json
589,1.7515112417011027,75.15112417011028,0.12560233482738392,12.560233482738392,437,0.0033417556735317877,0.33417556735317877,5.733390808318719,0.04084638405778063,4.084638405778063,14,E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_589\WFA_phase_K3_1D_STABLE_BTC_fused_20251101_174745.json
968,1.5768007085600453,57.68007085600453,0.11506781289703383,11.506781289703383,430,0.0027143792162211966,0.27143792162211966,9.756576090746425,0.03306325579514846,3.306325579514846,14,E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_968\WFA_phase_K3_1D_STABLE_BTC_fused_20251102_005040.json
552,2.9873205496943025,198.73205496943024,0.11436138217589331,11.436138217589331,419,0.006535411114138467,0.6535411114138467,27.410439193269656,0.08130622172809199,8.130622172809199,14,E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_552\WFA_phase_K3_1D_STABLE_BTC_fused_20251102_011737.json
9999_test,2.152757432511955,115.2757432511955,0.08503505782171505,8.503505782171505,463,0.0045744162437959535,0.45744162437959535,-1.545264037841194,0.05629534061791208,5.629534061791208,14,E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_9999_test\WFA_phase_K3_1D_STABLE_BTC_fused_20251022_053549.json
