phase,start,end,d1_candles,h2_bars
euphoria,2022-08-01 00:00:00,2022-08-11 00:00:00,11,121
expansion,2022-08-11 00:00:00,2022-08-16 16:00:00,6,69
euphoria,2022-08-16 16:00:00,2022-08-31 00:00:00,16,173
