phase,start,end,d1_candles,h2_bars
distribution,2022-05-01 00:00:00,2022-05-12 04:00:00,12,135
bear,2022-05-12 04:00:00,2022-05-12 06:00:00,1,2
distribution,2022-05-12 06:00:00,2022-05-31 22:00:00,20,237
