phase,start,end,d1_candles,h2_bars
euphoria,2024-06-01 00:00:00,2024-06-11 02:00:00,11,122
expansion,2024-06-11 02:00:00,2024-06-15 08:00:00,5,52
euphoria,2024-06-15 08:00:00,2024-06-30 00:00:00,16,177
