K,tenkan,kijun,senkou_b,shift,atr_mult,eq_ret,trades,sharpe,cagr,mdd,score
K3,6,30,36,52,6.300000000000001,1.1661076901516183,453,2.786681537664217,0.09678155002036792,1.0,1.4010433876046404
K5,6,30,36,52,6.300000000000001,1.1661076901516183,453,2.786681537664217,0.09678155002036792,1.0,1.4010433876046404
K8,6,30,36,52,6.300000000000001,1.1661076901516183,453,2.786681537664217,0.09678155002036792,1.0,1.4010433876046404
fixed,10,50,50,44,2.9000000000000004,0.6141168425165389,306,2.7882956256440634,0.09327482081483063,1.0,1.4009598216308872
K3,25,75,200,43,14.9,8.024085219981812,296,2.702049054358468,0.2646657277061155,1.0,1.4006291509269155
K5,25,75,200,43,14.9,8.024085219981812,296,2.702049054358468,0.2646657277061155,1.0,1.4006291509269155
K8,25,75,200,43,14.9,8.024085219981812,296,2.702049054358468,0.2646657277061155,1.0,1.4006291509269155
K8,30,90,180,48,5.7,2.2925616290799233,402,2.7778945795008347,0.11052228702047184,1.0,1.3998934338066424
fixed,9,36,54,29,2.5,2.1940945588571314,755,2.773799973052078,0.11851940569483754,1.0,1.399835805539698
K8,30,60,270,37,13.3,1.4859642622391132,331,2.7918892564288287,0.07641610553840716,1.0,1.3980583855188191
K3,19,19,95,1,14.600000000000001,17.350791289289496,283,2.566213054457054,0.5235772065822484,1.0,1.3968009946489068
K3,12,12,72,1,14.700000000000001,10.364671985138267,328,2.616008283673138,0.4215117683491503,1.0,1.396058500708628
fixed,6,30,36,57,6.4,1.6266233722714087,506,2.7649713161700498,0.10857421152683755,1.0,1.3915550531600809
K3,29,116,232,12,5.5,1.97872399009864,341,2.753833787029433,0.12355933441732136,1.0,1.389368072542856
K5,29,116,232,12,5.5,1.97872399009864,341,2.753833787029433,0.12355933441732136,1.0,1.389368072542856
K8,29,116,232,12,5.5,1.97872399009864,341,2.753833787029433,0.12355933441732136,1.0,1.389368072542856
fixed,6,30,36,57,5.2,1.322336806189849,509,2.7685321869337622,0.09410078442523084,1.0,1.3893495474878264
K3,13,13,91,3,9.9,22.67175294357523,324,2.524349422806124,0.5807600483850082,1.0,1.3888376681991765
K3,12,24,72,5,10.0,21.146192037722436,331,2.5276455822067367,0.5655944456401962,1.0,1.3862656830161009
fixed,6,30,42,46,2.1,1.9011099182559463,701,2.7549546908893565,0.10818830936379231,1.0,1.3854293073427515
K8,28,28,196,45,14.9,1.8820299715884952,370,2.757278972609805,0.09758842147932989,1.0,1.3836439100096818
K3,14,42,42,35,2.1,0.5698689320451975,295,2.7613125039069533,0.08580459856777711,1.0,1.382528881914505
fixed,7,28,35,58,3.5,1.3804879737252365,515,2.7548597983875798,0.09699274694645776,1.0,1.382013703116485
fixed,7,28,49,29,4.7,1.8206376644949955,637,2.7393201968223466,0.11703862800104115,1.0,1.3787037064937202
fixed,6,24,36,62,5.300000000000001,1.4224420247423133,464,2.7481675789110827,0.09904026457250836,1.0,1.378612626718402
fixed,22,66,198,46,14.0,11.15120124979228,364,2.668839807424167,0.24570032015770815,1.0,1.3750139805018124
fixed,7,35,56,29,2.9000000000000004,2.37371174026099,723,2.7276844575328476,0.1244370738494538,1.0,1.3739417966745446
K3,12,12,84,4,13.700000000000001,21.52204200632422,340,2.5044003548693956,0.569411822686916,1.0,1.3734637597277122
K3,13,39,39,29,4.5,0.7530781474322352,286,2.7347530797060235,0.10790355796943896,1.0,1.3732229152144457
K3,13,13,65,7,8.4,23.818556468168936,342,2.4898192099702747,0.5916192862100442,1.0,1.371377311845178
K3,10,20,70,5,14.3,20.723699141851927,333,2.5043717144281623,0.561236605550667,1.0,1.3709940103220974
fixed,9,45,45,48,3.8000000000000003,1.9574833874513073,609,2.7277083296389435,0.11024721489830047,1.0,1.369699162252856
K3,12,12,84,2,11.600000000000001,19.98893761928381,340,2.504764827374915,0.5534821433780774,1.0,1.3689035394383722
K3,14,14,70,1,12.5,12.14395677283826,325,2.5516828353483305,0.45174963621051867,1.0,1.3665345920721539
fixed,6,30,30,63,2.3,1.162726467549498,516,2.734327607191046,0.08581708861372883,1.0,1.366341690898746
fixed,8,40,40,53,2.0,1.3194160062116351,573,2.730176118283513,0.09395382811436392,1.0,1.3662918194044167
K3,25,75,175,50,13.5,8.069331088778833,309,2.642694240883258,0.2653410189982759,1.0,1.3652188502294373
K5,25,75,175,50,13.5,8.069331088778833,309,2.642694240883258,0.2653410189982759,1.0,1.3652188502294373
K8,25,75,175,50,13.5,8.069331088778833,309,2.642694240883258,0.2653410189982759,1.0,1.3652188502294373
K3,12,24,84,3,10.3,20.18720130061437,318,2.49492090172496,0.5555971520455667,1.0,1.363631686648646
fixed,7,35,35,63,4.4,1.3666313524628237,472,2.720511522651714,0.09630940653940523,1.0,1.36119973555285
fixed,8,40,40,58,5.1000000000000005,1.4977176291602246,475,2.717274939514893,0.10263587153947795,1.0,1.3611557251707793
K3,16,16,80,3,10.5,20.943593823035453,325,2.4860403523143813,0.5635136852958742,1.0,1.3606783169773908
K3,25,50,200,42,13.200000000000001,5.869926191040462,300,2.6524030112436128,0.22838009802075976,1.0,1.3599558361523953
K5,25,50,200,42,13.200000000000001,5.869926191040462,300,2.6524030112436128,0.22838009802075976,1.0,1.3599558361523953
K8,25,50,200,42,13.200000000000001,5.869926191040462,300,2.6524030112436128,0.22838009802075976,1.0,1.3599558361523953
K3,15,15,105,2,12.700000000000001,14.527056163982968,285,2.5229618344629485,0.4871796430599469,1.0,1.359930993595753
K3,26,52,182,48,14.600000000000001,7.877233807520559,307,2.6346399459369594,0.2624529459441056,1.0,1.3595198513454072
K5,26,52,182,48,14.600000000000001,7.877233807520559,307,2.6346399459369594,0.2624529459441056,1.0,1.3595198513454072
K8,26,52,182,48,14.600000000000001,7.877233807520559,307,2.6346399459369594,0.2624529459441056,1.0,1.3595198513454072
K3,12,12,84,2,9.6,19.583201745554142,342,2.486075329970323,0.5491000794540482,1.0,1.3563752218184082
fixed,12,36,36,52,3.8000000000000003,1.5141493373850476,515,2.708807249995411,0.10340785688185394,1.0,1.3563067070618027
K3,17,17,85,3,8.4,20.64912485661897,325,2.4779345263084553,0.5604598875518851,1.0,1.3548986820506386
K3,16,16,80,7,8.4,15.448320789120778,313,2.508346111166454,0.49963613437977705,1.0,1.3548985070138053
fixed,6,30,30,57,3.2,1.5279342975707473,519,2.705652140650577,0.10405202552386772,1.0,1.3546068920475065
K3,23,69,184,47,12.600000000000001,5.649865361811447,295,2.644881267383353,0.22411891947216578,1.0,1.3541644362716614
K5,23,69,184,47,12.600000000000001,5.649865361811447,295,2.644881267383353,0.22411891947216578,1.0,1.3541644362716614
K8,23,69,184,47,12.600000000000001,5.649865361811447,295,2.644881267383353,0.22411891947216578,1.0,1.3541644362716614
K3,24,72,192,50,14.0,7.451342949282827,298,2.6270339406370455,0.2558454136154906,1.0,1.3529739884668743
K5,24,72,192,50,14.0,7.451342949282827,298,2.6270339406370455,0.2558454136154906,1.0,1.3529739884668743
K8,24,72,192,50,14.0,7.451342949282827,298,2.6270339406370455,0.2558454136154906,1.0,1.3529739884668743
fixed,11,55,55,28,3.6,0.6355608742026795,379,2.7068779607561795,0.09596560162849666,1.0,1.3529164569422567
fixed,10,40,40,46,3.4000000000000004,1.5842154322137159,560,2.7014040047747723,0.10664989324444885,1.0,1.352837370838198
fixed,5,25,25,53,4.8,0.6863156960490542,298,2.696846658486021,0.10222170286881327,1.0,1.3487745059522565
fixed,8,40,40,52,3.0,2.039694262097672,624,2.688826027709078,0.1131870876215304,1.0,1.3472517429119057
K3,29,116,232,12,5.5,2.2399055122086344,387,2.6825071103610436,0.12005671878898028,1.0,1.3455212818533202
K5,29,116,232,12,5.5,2.2399055122086344,387,2.6825071103610436,0.12005671878898028,1.0,1.3455212818533202
K8,29,116,232,12,5.5,2.2399055122086344,387,2.6825071103610436,0.12005671878898028,1.0,1.3455212818533202
fixed,8,32,32,62,3.1,1.3225683884701938,512,2.693974723591053,0.09411242912585838,1.0,1.3446185628923892
K3,22,22,88,1,8.6,13.568526895455767,289,2.3976514524593378,0.6837256675733785,1.0,1.343708571747616
K3,30,30,270,42,13.4,5.346535095256977,286,2.6417221308090078,0.19509756096197406,1.0,1.343562546773997
K5,30,30,270,42,13.4,5.346535095256977,286,2.6417221308090078,0.19509756096197406,1.0,1.343562546773997
K8,30,30,270,42,13.4,5.346535095256977,286,2.6417221308090078,0.19509756096197406,1.0,1.343562546773997
K3,26,78,208,37,11.9,13.894121827091254,304,2.5712097009143555,0.3341440252523613,1.0,1.3429690281243216
K5,26,78,208,37,11.9,13.894121827091254,304,2.5712097009143555,0.3341440252523613,1.0,1.3429690281243216
K8,26,78,208,37,11.9,13.894121827091254,304,2.5712097009143555,0.3341440252523613,1.0,1.3429690281243216
K3,7,14,49,30,4.2,0.5616573598516901,283,2.6927096905627614,0.08476566399149554,1.0,1.3410555135351054
K3,11,11,66,1,8.9,10.419254407356744,338,2.5238142631656006,0.4224977230559088,1.0,1.341037874816133
fixed,10,50,50,29,5.4,3.247866573964944,863,2.6725580630053787,0.12407333186910163,1.0,1.3407568373639578
fixed,25,100,200,33,10.5,12.626402917586491,286,2.5476490556860187,0.3664070246438358,1.0,1.3385115408047619
fixed,7,35,35,58,3.7,1.332641972079721,512,2.682494078354962,0.09461796018369606,1.0,1.337881835068086
fixed,20,60,180,49,14.600000000000001,5.042383725569365,282,2.609097322667451,0.23985020646713906,1.0,1.3374134555406123
K3,10,10,60,14,3.5,1.0176869827673745,322,2.659834502113132,0.1367006301069451,1.0,1.3369108902999627
K3,20,20,80,3,11.9,19.436765043274722,324,2.454386418444275,0.5475003649302463,1.0,1.3368819605456388
K3,23,23,184,35,14.600000000000001,1.1350148998217753,295,2.679531806818394,0.09488791068907143,1.0,1.3361854572977578
K5,23,23,184,35,14.600000000000001,1.1350148998217753,295,2.679531806818394,0.09488791068907143,1.0,1.3361854572977578
K8,23,23,184,35,14.600000000000001,1.1350148998217753,295,2.679531806818394,0.09488791068907143,1.0,1.3361854572977578
K3,19,19,76,2,13.3,18.53699212824545,331,2.4745849237849415,0.5010260995124634,1.0,1.335058784124704
K3,19,19,76,2,13.3,18.53699212824545,331,2.4745849237849415,0.5010260995124634,1.0,1.335058784124704
K3,19,19,76,2,13.3,18.53699212824545,331,2.4745849237849415,0.5010260995124634,1.0,1.335058784124704
K3,26,78,208,46,13.9,6.4639844337978145,280,2.604634627763195,0.23930229025791538,1.0,1.3345714637352915
K5,26,78,208,46,13.9,6.4639844337978145,280,2.604634627763195,0.23930229025791538,1.0,1.3345714637352915
K8,26,78,208,46,13.9,6.4639844337978145,280,2.604634627763195,0.23930229025791538,1.0,1.3345714637352915
fixed,9,36,36,52,3.4000000000000004,1.9115861360391015,598,2.669800363377742,0.10857364692880167,1.0,1.3344523121052856
fixed,7,35,35,51,4.2,1.7154948345143346,592,2.6729995257975454,0.10114377926492413,1.0,1.3341428492580045
K3,20,60,180,49,13.100000000000001,5.042497894672326,283,2.602843675824293,0.23985300636873208,1.0,1.3336621074051955
K5,20,60,180,49,13.100000000000001,5.042497894672326,283,2.602843675824293,0.23985300636873208,1.0,1.3336621074051955
K8,20,60,180,49,13.100000000000001,5.042497894672326,283,2.602843675824293,0.23985300636873208,1.0,1.3336621074051955
K3,10,10,70,5,8.9,20.19881034268597,348,2.4431844513181233,0.5557204679422327,1.0,1.3326268111735438
K3,26,26,182,48,14.8,2.986000268469382,282,2.6306300050595843,0.17971094260063092,1.0,1.33229128581594
K5,26,26,182,48,14.8,2.986000268469382,282,2.6306300050595843,0.17971094260063092,1.0,1.33229128581594
K8,26,26,182,48,14.8,2.986000268469382,282,2.6306300050595843,0.17971094260063092,1.0,1.33229128581594
K3,18,18,72,2,14.8,20.3453061793234,332,2.458572855820449,0.5192928291158387,1.0,1.330931562227021
K3,18,18,72,2,14.8,20.3453061793234,332,2.458572855820449,0.5192928291158387,1.0,1.330931562227021
K3,18,18,72,2,14.8,20.3453061793234,332,2.458572855820449,0.5192928291158387,1.0,1.330931562227021
K3,26,78,208,46,14.100000000000001,6.4094007850573185,280,2.5977757973955184,0.23833177571445963,1.0,1.330165011151649
K5,26,78,208,46,14.100000000000001,6.4094007850573185,280,2.5977757973955184,0.23833177571445963,1.0,1.330165011151649
K8,26,78,208,46,14.100000000000001,6.4094007850573185,280,2.5977757973955184,0.23833177571445963,1.0,1.330165011151649
fixed,6,30,30,55,3.2,1.6340063473051605,520,2.661548323063287,0.10890638427163624,1.0,1.3296009091194632
K3,10,10,70,4,8.8,22.82615526858877,353,2.423731295034236,0.5822479767307982,1.0,1.3289131700397807
K3,20,20,80,2,8.3,19.340295215619662,324,2.460025325144268,0.5093134984189926,1.0,1.3288092446122586
K3,20,20,80,2,8.3,19.340295215619662,324,2.460025325144268,0.5093134984189926,1.0,1.3288092446122586
K3,20,20,80,2,8.3,19.340295215619662,324,2.460025325144268,0.5093134984189926,1.0,1.3288092446122586
K3,22,22,88,1,11.8,12.859696544998341,287,2.3791159955134233,0.6674711614939444,1.0,1.3277109457562373
fixed,25,75,200,42,15.0,8.223896728875589,381,2.6037352930995485,0.21585892739902102,1.0,1.3269988540794353
K3,10,20,40,31,3.0,0.5350389990020956,290,2.6681942224847712,0.08136689856465606,1.0,1.3253266030602593
K3,25,75,200,44,14.8,5.3792639132043085,295,2.5989468565902,0.21870292163720206,1.0,1.3249789904452804
K5,25,75,200,44,14.8,5.3792639132043085,295,2.5989468565902,0.21870292163720206,1.0,1.3249789904452804
K8,25,75,200,44,14.8,5.3792639132043085,295,2.5989468565902,0.21870292163720206,1.0,1.3249789904452804
K3,30,30,270,42,14.5,5.172456883251131,286,2.6123363592817666,0.19189609437988575,1.0,1.3249706438830255
K5,30,30,270,42,14.5,5.172456883251131,286,2.6123363592817666,0.19189609437988575,1.0,1.3249706438830255
K8,30,30,270,42,14.5,5.172456883251131,286,2.6123363592817666,0.19189609437988575,1.0,1.3249706438830255
fixed,7,35,35,58,2.4000000000000004,1.2698809387767231,539,2.661234934212733,0.09143602124282268,1.0,1.3241717669004864
K3,8,32,40,32,3.3000000000000003,0.7121880888166494,293,2.6542989892710644,0.10314098940305239,1.0,1.3235216903835543
K3,12,12,84,5,12.700000000000001,10.012799831106086,312,2.497851786353183,0.41505666694782817,1.0,1.3232280718962581
K3,13,13,78,7,7.6000000000000005,15.38550028767093,326,2.4556873043241976,0.49880594527700994,1.0,1.3230541661776214
K3,5,10,25,39,4.300000000000001,0.5007242097710174,281,2.6660044956992426,0.07691359454119029,1.0,1.3226767757819025
K3,23,69,184,43,12.600000000000001,13.31386626748311,308,2.5384685558567672,0.328497294928223,1.0,1.3216303219925272
