phase,start,end,d1_candles,h2_bars
distribution,2014-11-01 00:00:00,2014-11-13 04:00:00,13,147
accumulation,2014-11-13 04:00:00,2014-11-13 20:00:00,1,9
distribution,2014-11-13 20:00:00,2014-11-30 22:00:00,18,206
