phase,start,end,d1_candles,h2_bars
euphoria,2017-07-01 00:00:00,2017-07-19 06:00:00,19,220
expansion,2017-07-19 06:00:00,2017-07-22 02:00:00,4,35
euphoria,2017-07-22 02:00:00,2017-07-31 00:00:00,10,108
