phase,start,end,d1_candles,h2_bars
euphoria,2024-12-01 00:00:00,2024-12-23 14:00:00,23,272
expansion,2024-12-23 14:00:00,2024-12-30 16:00:00,8,86
euphoria,2024-12-30 16:00:00,2024-12-31 00:00:00,2,5
