timestamp,P_bars,P1_bars,P2_bars,P3_bars,LFP,P1_vol,P2_vol,P3_vol,LFP_vol
2015-08-20,91.0,91.0,45.5,30.333333333333332,0.9888547149342471,45.5,91.0,13.0,0.8038584730778897
2015-08-21,91.0,91.0,45.5,30.333333333333332,0.9887666956152957,45.5,91.0,13.0,0.8050031515355383
2015-08-22,91.0,91.0,45.5,30.333333333333332,0.9886915505995852,45.5,91.0,13.0,0.8063405382809953
2015-08-23,91.0,91.0,45.5,30.333333333333332,0.9886375076630248,45.5,91.0,13.0,0.8076910818539729
2015-08-24,91.0,91.0,45.5,30.333333333333332,0.9886007855567785,45.5,91.0,13.0,0.8090689148143557
2015-08-25,91.0,91.0,45.5,30.333333333333332,0.9885759458386015,45.5,91.0,13.0,0.809791629813361
2015-08-26,91.0,91.0,45.5,30.333333333333332,0.9885466402790665,45.5,91.0,13.0,0.8107116882257367
2015-08-27,91.0,91.0,45.5,30.333333333333332,0.9885244864951673,45.5,91.0,13.0,0.8114949748199145
2015-08-28,91.0,91.0,45.5,30.333333333333332,0.9885209892548632,45.5,91.0,13.0,0.8113572916291477
2015-08-29,91.0,91.0,45.5,30.333333333333332,0.9885398636951739,45.5,91.0,13.0,0.8104670010320275
2015-08-30,91.0,91.0,45.5,30.333333333333332,0.9885813070726671,45.5,91.0,13.0,0.8105276208833341
2015-08-31,91.0,91.0,45.5,30.333333333333332,0.9886195330664869,45.5,91.0,13.0,0.8111111148315268
2015-09-01,91.0,91.0,45.5,30.333333333333332,0.9886669738121195,45.5,91.0,13.0,0.8111925331408104
2015-09-02,91.0,91.0,45.5,30.333333333333332,0.9887290459040136,45.5,91.0,13.0,0.8113155215697608
2015-09-03,91.0,91.0,45.5,30.333333333333332,0.9887580643053195,45.5,91.0,13.0,0.8115405616295546
2015-09-04,91.0,91.0,45.5,30.333333333333332,0.9887506459399784,45.5,91.0,13.0,0.8114948459075066
2015-09-05,91.0,91.0,45.5,30.333333333333332,0.9887396350036721,91.0,45.5,13.0,0.8111375183596169
2015-09-06,91.0,91.0,45.5,30.333333333333332,0.9887135166081948,91.0,45.5,13.0,0.8109157545344099
2015-09-07,91.0,91.0,45.5,30.333333333333332,0.9886828094541659,91.0,45.5,13.0,0.8104689547643551
2015-09-08,91.0,91.0,45.5,30.333333333333332,0.9886602740872669,91.0,45.5,13.0,0.8098612460713285
2015-09-09,91.0,91.0,45.5,30.333333333333332,0.9886162491996244,91.0,45.5,13.0,0.8088759472067235
2015-09-10,91.0,91.0,45.5,30.333333333333332,0.9885338864044304,91.0,45.5,15.166666666666666,0.8082962588343281
2015-09-11,91.0,91.0,45.5,30.333333333333332,0.9884239906459092,91.0,45.5,15.166666666666666,0.8082719483615363
2015-09-12,91.0,91.0,45.5,30.333333333333332,0.9882830376112877,91.0,45.5,15.166666666666666,0.8071758468702384
2015-09-13,91.0,91.0,45.5,30.333333333333332,0.9881231647532535,91.0,45.5,15.166666666666666,0.8062574835377547
2015-09-14,91.0,91.0,45.5,30.333333333333332,0.9879842641049843,91.0,45.5,15.166666666666666,0.8050750162776253
2015-09-15,91.0,91.0,45.5,30.333333333333332,0.9878411202173899,91.0,45.5,15.166666666666666,0.804185975083729
2015-09-16,91.0,91.0,45.5,30.333333333333332,0.9876834426643452,91.0,45.5,15.166666666666666,0.8026686964348163
2015-09-17,91.0,91.0,45.5,30.333333333333332,0.9875457997401597,91.0,45.5,15.166666666666666,0.8015698003955498
2015-09-18,91.0,91.0,45.5,30.333333333333332,0.9874088845654675,91.0,45.5,15.166666666666666,0.800313095634653
2015-09-19,91.0,91.0,45.5,30.333333333333332,0.987268520995789,91.0,45.5,15.166666666666666,0.7989314223278645
2015-09-20,91.0,91.0,45.5,30.333333333333332,0.9871515166625258,91.0,45.5,15.166666666666666,0.7974442754092919
2015-09-21,91.0,91.0,45.5,30.333333333333332,0.9870358243526932,91.0,45.5,15.166666666666666,0.7961282450347452
2015-09-22,91.0,91.0,45.5,30.333333333333332,0.9869074318018212,91.0,45.5,30.333333333333332,0.7950478310656471
2015-09-23,91.0,91.0,45.5,30.333333333333332,0.9868072311833653,91.0,45.5,30.333333333333332,0.7942748325208808
2015-09-24,91.0,91.0,45.5,30.333333333333332,0.986748581454137,91.0,45.5,30.333333333333332,0.7938333931104585
2015-09-25,91.0,91.0,45.5,30.333333333333332,0.9867184087508307,91.0,45.5,30.333333333333332,0.7936740635271525
2015-09-26,91.0,91.0,45.5,30.333333333333332,0.9867214089033708,91.0,45.5,30.333333333333332,0.7937378060989633
2015-09-27,91.0,91.0,45.5,30.333333333333332,0.9867477461096849,91.0,45.5,30.333333333333332,0.793695832211952
2015-09-28,91.0,91.0,45.5,30.333333333333332,0.9867830865659725,91.0,45.5,13.0,0.7940290520890936
2015-09-29,91.0,91.0,45.5,22.75,0.9868285732323084,91.0,45.5,13.0,0.7949433429301692
2015-09-30,91.0,91.0,45.5,22.75,0.9868972586011384,91.0,45.5,13.0,0.7961102563698264
2015-10-01,91.0,91.0,45.5,22.75,0.986986294829517,91.0,45.5,13.0,0.7973503658965165
2015-10-02,91.0,91.0,45.5,22.75,0.9870887313110753,91.0,45.5,13.0,0.7986381418516205
2015-10-03,91.0,91.0,45.5,22.75,0.9872046303581867,91.0,45.5,13.0,0.7997645526724569
2015-10-04,91.0,91.0,45.5,22.75,0.9873265195011309,91.0,45.5,13.0,0.8007876194334422
2015-10-05,91.0,91.0,45.5,22.75,0.9874657008802885,91.0,45.5,13.0,0.802207843652647
2015-10-06,91.0,91.0,45.5,22.75,0.9876316090164813,91.0,45.5,13.0,0.8037726122262807
2015-10-07,91.0,91.0,45.5,22.75,0.9878147791241418,91.0,45.5,13.0,0.8052903948808888
2015-10-08,91.0,91.0,45.5,22.75,0.9880025372530256,91.0,45.5,13.0,0.806843264355523
2015-10-09,91.0,91.0,45.5,22.75,0.9881874865414382,91.0,45.5,13.0,0.8087101751171782
2015-10-10,91.0,91.0,45.5,22.75,0.9883686776404884,91.0,45.5,13.0,0.8100659171079846
2015-10-11,91.0,91.0,45.5,22.75,0.9885487266098059,91.0,45.5,13.0,0.811542235319787
2015-10-12,91.0,91.0,45.5,22.75,0.9887410223089743,91.0,45.5,13.0,0.8128196092181064
2015-10-13,91.0,91.0,45.5,22.75,0.9889394910795606,45.5,91.0,13.0,0.8129322602157435
2015-10-14,91.0,91.0,45.5,22.75,0.9891415056102014,45.5,91.0,13.0,0.8123420102569153
2015-10-15,91.0,91.0,45.5,22.75,0.9893463353152313,45.5,91.0,13.0,0.8128457458984547
2015-10-16,91.0,91.0,45.5,22.75,0.9895267606811401,45.5,91.0,13.0,0.813880554671729
2015-10-17,91.0,91.0,45.5,22.75,0.9897025329282008,45.5,91.0,13.0,0.8144970582560508
2015-10-18,91.0,91.0,45.5,22.75,0.9898832172424391,91.0,45.5,13.0,0.8152578770480904
2015-10-19,91.0,91.0,45.5,22.75,0.9900293538637788,91.0,45.5,13.0,0.8162903308773438
2015-10-20,91.0,91.0,45.5,30.333333333333332,0.9901475384717744,91.0,45.5,13.0,0.8171217164165809
2015-10-21,91.0,91.0,45.5,30.333333333333332,0.9902633890540216,91.0,45.5,13.0,0.8176668370642206
