label,duration_days,duration_h2_bars,P1_med,P2_med,P3_med,P4_med,P5_med,P6_med,LFP_mean
down,31.0,372.0,30.0,15.0,10.0,,,,0.8923182301998647
range,6.0,72.0,30.0,15.0,10.0,,,,0.8023033292803943
up,21.0,252.0,30.0,15.0,10.0,,,,0.9008412880982547
