label,duration_days,duration_h2_bars,P1_med,P2_med,P3_med,P4_med,P5_med,P6_med,LFP_mean
accumulation,20.0,240.0,30.0,15.0,10.0,,,,0.8246354730627334
bear,252.0,3024.0,30.0,15.0,10.0,,,,0.8861585684994824
distribution,5.5,66.0,30.0,15.0,10.0,,,,0.8525231296057404
euphoria,2.0,24.0,30.0,15.0,10.0,,,,0.9354137814108469
expansion,2.5,30.0,30.0,15.0,10.0,,,,0.8258170327231763
